FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
02/01/2010,18,2.0,0.7,1.4,0.9,0.8,0.9,0.2,0.6,0.9,0.4,1.1,0.7,1.2,1.4,0.5,0.7,-99
02/01/2010,19,1.3,0.5,0.7,0.6,1.1,1.4,0.5,0.6,0.8,1.4,-99,0.7,1.3,0.9,0.9,0.8,-99
02/01/2010,20,1.3,0.7,0.9,0.5,1.0,1.3,0.2,0.9,0.6,1.4,-99,0.6,1.1,0.8,0.8,0.7,-99
02/01/2010,21,1.2,0.5,0.8,0.3,1.0,1.2,0.6,1.0,0.6,1.8,-99,0.6,1.1,0.8,0.9,1.1,-99
02/01/2010,22,0.4,0.4,0.6,0.3,0.8,1.1,0.3,0.7,0.5,1.7,-99,0.5,1.0,0.5,0.6,1.0,-99
02/01/2010,23,0.4,0.5,0.6,0.4,0.7,0.9,0.3,0.7,0.4,1.6,-99,0.5,1.2,0.5,0.7,0.5,-99
02/01/2010,24,0.3,0.4,0.6,0.2,0.6,0.7,0.3,0.6,0.4,1.2,-99,0.5,1.0,0.5,0.5,0.4,-99
03/01/2010,1,0.3,0.3,0.5,0.3,0.7,0.6,0.3,0.6,0.4,0.9,-99,0.5,0.8,0.5,0.4,0.4,-99
03/01/2010,2,0.3,0.3,0.7,0.3,0.5,0.7,0.3,0.5,0.4,0.7,-99,0.5,0.7,-99,0.4,0.4,-99
03/01/2010,3,0.3,0.2,0.8,0.2,0.5,0.6,0.3,0.5,0.4,0.6,-99,0.6,0.7,-99,0.5,0.3,-99
03/01/2010,4,0.3,0.3,0.8,0.2,0.5,0.6,0.4,0.5,0.5,0.5,-99,0.6,0.8,-99,0.5,0.4,-99
03/01/2010,5,0.3,0.4,0.7,0.2,0.5,0.8,0.4,0.5,0.4,0.4,0.9,0.6,0.7,-99,0.3,0.5,-99
03/01/2010,6,0.4,0.5,0.8,0.3,0.7,1.0,0.4,0.6,0.5,0.6,1.0,0.6,0.8,-99,0.4,0.5,-99
03/01/2010,7,0.5,0.5,0.7,0.5,1.0,1.2,0.4,1.0,0.7,0.8,1.0,0.6,0.9,-99,0.5,0.6,-99
03/01/2010,8,0.6,0.5,0.7,0.5,1.3,1.7,0.5,1.3,0.6,1.0,1.1,0.7,0.8,-99,0.7,1.2,-99
03/01/2010,9,0.7,0.6,0.8,0.6,1.3,1.7,0.5,1.2,0.8,1.1,1.0,0.7,1.1,-99,0.9,0.8,-99
03/01/2010,10,0.8,0.7,0.7,0.6,1.2,1.6,0.5,1.1,0.8,1.9,1.0,0.7,1.0,-99,1.0,0.9,-99
03/01/2010,11,1.0,0.7,1.0,0.6,1.4,1.4,0.6,1.5,0.9,1.9,1.0,0.7,1.2,-99,1.0,1.2,-99
03/01/2010,12,1.2,0.7,0.9,0.6,1.0,1.5,0.7,1.3,1.0,2.0,0.9,0.5,1.1,-99,1.2,1.3,-99
03/01/2010,13,0.9,0.7,0.9,0.6,0.7,1.2,0.6,1.0,0.8,1.7,0.9,0.5,1.0,-99,-99,1.0,-99
03/01/2010,14,1.0,0.7,0.9,0.5,0.9,1.4,0.6,0.8,0.7,1.5,0.9,0.5,1.0,-99,-99,0.9,-99
03/01/2010,15,0.6,0.5,0.7,0.5,0.9,1.5,0.6,1.0,0.6,1.4,1.0,0.5,0.9,-99,-99,0.8,-99
03/01/2010,16,0.6,0.6,0.9,0.5,0.8,1.4,0.5,1.2,0.5,1.9,0.9,0.5,1.0,-99,-99,0.9,-99
03/01/2010,17,0.6,0.7,1.0,0.5,0.9,1.4,0.5,1.1,0.6,1.4,0.9,0.5,1.1,0.3,-99,0.8,-99
03/01/2010,18,0.6,0.6,1.1,0.4,0.8,1.1,0.7,0.9,0.5,1.8,0.9,0.6,1.0,0.3,-99,1.0,-99
03/01/2010,19,1.0,0.5,0.9,0.4,1.0,1.0,0.8,0.8,0.6,1.8,1.1,0.6,1.0,0.4,-99,0.9,-99
03/01/2010,20,0.9,0.5,0.8,0.5,0.8,1.0,0.6,0.8,0.5,1.8,1.1,0.7,1.5,0.5,-99,1.1,-99
03/01/2010,21,0.7,0.6,0.8,0.5,0.8,0.9,0.7,1.1,0.5,1.7,1.1,0.6,1.3,0.4,-99,1.4,-99
03/01/2010,22,0.5,0.6,0.9,0.5,0.9,0.8,0.3,0.9,0.6,1.8,1.0,0.7,1.1,0.8,-99,0.6,-99
03/01/2010,23,0.7,0.5,1.2,0.7,0.9,1.0,0.3,0.8,0.8,1.3,1.3,0.6,1.4,1.0,-99,0.6,-99
