FECHA;HORA;ACO;AJM;ATI;BJU;CAM;CCA;CHO;CUA;CUT;FAC;FAR;HGM;INN;IZT;LLA;LPR;MER;MGH;MON;MPA;NEZ;PED;SAC;SAG;SFE;SJA;TAH;TLA;TLI;UAX;UIZ;VIF;XAL
01/01/2019;1;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
01/01/2019;2;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
01/01/2019;3;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
01/01/2019;4;2;1;3;2;4;2;5;8;1;-99;-99;3;2;5;5;3;5;3;2;1;12;2;-99;-99;2;-99;3;3;-99;4;4;-99;7
01/01/2019;5;2;1;2;2;3;2;3;5;2;-99;-99;2;2;4;5;3;6;2;1;1;10;1;-99;6;2;-99;2;3;-99;4;4;7;5
01/01/2019;6;2;1;2;2;2;2;2;4;2;-99;-99;2;2;5;4;3;6;2;1;0;8;1;-99;6;1;-99;1;2;-99;3;4;5;5
01/01/2019;7;1;1;2;1;2;2;2;3;1;-99;-99;2;2;3;4;3;5;2;1;0;6;1;-99;6;1;-99;1;2;-99;2;3;5;5
01/01/2019;8;1;1;2;1;2;2;2;3;1;-99;-99;2;2;3;3;3;5;3;1;0;4;1;-99;7;1;-99;1;2;-99;2;3;4;5
01/01/2019;9;2;2;3;2;2;2;2;3;2;-99;-99;3;1;3;4;4;5;4;3;0;5;1;-99;8;1;-99;1;2;-99;3;4;5;6
01/01/2019;10;2;1;4;2;3;3;2;2;4;-99;-99;3;2;3;5;4;5;3;3;0;5;2;-99;9;2;-99;2;6;-99;3;4;4;5
01/01/2019;11;2;2;3;2;4;4;2;1;5;-99;-99;5;2;4;5;3;5;4;3;1;6;2;-99;8;2;-99;3;24;-99;3;4;5;5
01/01/2019;12;2;2;2;2;4;3;1;2;4;-99;-99;3;2;4;4;3;4;3;2;1;3;3;-99;6;2;-99;3;8;-99;3;4;4;3
01/01/2019;13;2;3;2;3;2;3;1;2;3;-99;-99;3;2;4;4;3;4;2;2;2;3;3;-99;4;2;-99;2;5;-99;3;3;2;3
01/01/2019;14;2;2;3;3;2;3;1;2;2;-99;-99;3;1;3;3;3;4;3;2;2;3;3;-99;4;2;-99;1;3;-99;3;3;3;2
01/01/2019;15;2;2;3;3;2;3;1;2;3;-99;-99;3;1;3;4;1;4;3;1;1;2;2;-99;4;2;-99;1;4;-99;3;3;2;2
01/01/2019;16;4;2;3;2;2;3;1;3;3;-99;-99;3;1;3;4;2;4;3;1;1;1;2;-99;3;3;-99;1;4;-99;2;2;2;2
01/01/2019;17;2;1;4;2;2;3;1;3;2;-99;-99;1;2;2;3;2;2;2;1;1;1;2;-99;2;3;-99;1;3;-99;1;1;2;2
01/01/2019;18;2;1;3;1;1;2;1;2;6;-99;-99;1;2;1;2;1;2;1;1;1;1;1;-99;2;2;-99;0;2;-99;1;1;2;2
01/01/2019;19;2;1;2;1;1;1;1;1;15;-99;-99;2;1;2;2;0;2;1;1;1;1;1;-99;2;1;-99;0;1;-99;1;1;1;1
01/01/2019;20;2;0;6;1;1;1;1;2;4;-99;-99;1;2;2;3;1;2;1;1;1;1;1;-99;3;1;-99;1;3;-99;1;2;1;1
01/01/2019;21;2;3;32;3;4;2;1;15;3;-99;-99;4;1;2;3;1;3;19;1;1;2;2;-99;3;11;-99;1;14;-99;1;2;4;3
01/01/2019;22;2;15;43;17;29;5;1;17;6;-99;-99;32;3;13;3;2;11;37;1;1;2;5;-99;4;10;-99;2;45;-99;2;3;4;4
01/01/2019;23;2;12;37;22;47;7;1;13;79;-99;-99;44;6;29;5;2;29;26;2;1;3;6;-99;5;10;-99;2;51;-99;2;3;35;4
01/01/2019;24;3;11;23;20;46;5;1;9;81;-99;-99;40;6;4;35;12;34;13;1;1;3;5;-99;14;6;-99;2;44;-99;2;7;61;10
02/01/2019;1;4;12;14;16;36;4;1;7;35;-99;-99;28;3;4;29;19;46;10;1;4;9;4;-99;36;5;-99;4;26;-99;2;4;71;12
02/01/2019;2;7;11;9;7;27;4;1;6;9;-99;-99;21;2;6;28;22;14;8;1;7;28;4;-99;25;4;-99;1;30;-99;2;3;63;19
02/01/2019;3;9;9;5;4;18;3;1;6;4;-99;-99;15;2;7;51;21;22;5;1;9;27;4;-99;41;3;-99;2;17;-99;2;6;76;17
02/01/2019;4;2;7;2;5;15;3;0;3;4;-99;-99;16;2;22;58;11;30;4;1;9;31;3;-99;37;2;-99;2;20;-99;1;15;87;15
02/01/2019;5;1;5;1;8;17;3;1;4;3;-99;-99;19;2;27;57;8;19;3;0;8;20;2;-99;35;2;-99;3;16;-99;6;18;94;22
02/01/2019;6;1;4;2;9;19;4;1;3;3;-99;-99;8;2;11;48;12;8;4;0;6;3;3;-99;41;2;-99;3;22;-99;4;7;113;25
02/01/2019;7;1;4;3;6;10;3;2;3;4;-99;-99;4;2;3;38;18;6;9;0;4;3;3;-99;31;2;-99;3;16;-99;2;3;88;23
02/01/2019;8;1;5;3;4;6;3;2;4;4;-99;-99;4;2;3;26;12;7;6;0;3;4;2;-99;25;2;-99;3;9;-99;2;2;69;20
02/01/2019;9;1;8;3;5;8;6;2;5;6;-99;-99;9;2;4;30;14;12;15;0;3;3;5;-99;19;2;-99;2;13;-99;2;4;56;17
02/01/2019;10;1;12;8;7;10;9;2;4;14;-99;-99;13;2;8;19;13;16;13;1;4;5;9;-99;14;6;-99;4;18;-99;6;8;47;18
02/01/2019;11;4;9;12;6;12;10;4;7;14;-99;-99;14;2;9;12;13;13;11;3;5;4;10;-99;14;9;-99;6;17;-99;9;7;36;16
02/01/2019;12;5;5;13;5;9;7;3;7;25;-99;-99;8;2;6;14;8;9;9;4;3;6;7;-99;15;7;-99;4;9;-99;5;5;22;11
02/01/2019;13;2;5;7;3;4;6;1;7;16;-99;-99;4;2;4;7;4;6;5;2;3;5;5;-99;8;6;-99;3;4;-99;4;4;7;7
02/01/2019;14;2;5;4;3;4;6;1;6;10;-99;-99;4;2;4;5;3;4;4;0;2;2;5;-99;5;6;-99;2;4;-99;3;3;3;5
02/01/2019;15;1;4;4;3;3;5;1;5;7;-99;-99;3;1;3;4;3;4;4;0;1;2;4;-99;3;5;-99;1;4;-99;3;2;2;3
02/01/2019;16;1;4;4;2;3;4;1;1;6;-99;-99;4;1;2;3;2;3;3;0;0;1;4;-99;2;4;-99;1;3;-99;2;2;3;2
02/01/2019;17;1;3;3;1;2;2;1;2;6;-99;-99;1;1;1;2;1;2;2;1;0;1;2;-99;2;3;-99;1;3;-99;1;1;1;2
02/01/2019;18;1;2;3;1;1;2;0;1;4;-99;-99;1;2;1;2;1;2;1;1;0;1;2;-99;2;2;-99;1;2;-99;1;1;1;2
02/01/2019;19;2;1;2;1;1;1;2;1;4;-99;-99;1;1;1;2;1;2;1;1;0;1;1;-99;2;1;-99;1;3;-99;1;1;1;3
02/01/2019;20;2;1;2;1;2;2;2;1;3;-99;-99;1;1;1;2;1;2;1;1;0;2;1;-99;2;1;-99;1;2;-99;1;1;1;2
02/01/2019;21;2;1;2;2;4;2;1;1;4;-99;-99;1;1;1;2;2;2;1;1;0;2;1;-99;3;1;-99;1;2;-99;1;2;2;5
02/01/2019;22;2;1;1;2;5;2;1;1;4;-99;-99;1;1;1;2;2;4;1;1;0;2;1;-99;4;1;-99;1;3;-99;1;2;4;4
02/01/2019;23;2;1;13;2;4;2;1;1;4;-99;-99;1;1;2;2;2;6;1;0;0;2;1;-99;5;1;-99;1;2;-99;1;2;2;4
02/01/2019;24;1;1;27;2;3;1;1;1;5;-99;-99;1;1;2;3;3;4;1;0;0;2;1;-99;6;1;-99;1;4;-99;1;2;4;6
03/01/2019;1;1;1;19;1;1;1;1;1;4;2;-99;2;1;1;2;3;3;3;0;0;2;1;-99;5;2;-99;1;9;-99;1;1;11;6
03/01/2019;2;1;29;12;1;1;2;1;4;3;5;-99;2;1;1;2;4;4;3;0;2;2;4;-99;5;5;-99;1;13;-99;1;1;11;7
03/01/2019;3;1;41;9;1;1;2;3;10;2;4;-99;1;1;1;1;4;3;3;0;11;2;5;-99;4;14;-99;1;11;-99;1;1;11;4
03/01/2019;4;1;41;7;1;1;2;1;17;2;3;-99;1;1;1;1;3;2;3;0;13;2;3;-99;3;13;-99;1;5;-99;1;1;7;4
03/01/2019;5;1;30;7;1;3;2;1;9;2;4;-99;1;2;1;1;4;3;3;1;9;2;2;-99;3;11;-99;1;3;-99;1;1;4;6
03/01/2019;6;1;22;5;1;4;2;2;6;2;3;-99;2;2;2;1;4;3;6;1;6;2;4;-99;3;8;-99;2;4;-99;1;2;5;5
03/01/2019;7;1;19;5;2;5;3;2;16;3;4;-99;2;2;2;1;4;5;9;1;6;2;4;-99;3;11;-99;2;6;-99;1;2;4;5
03/01/2019;8;1;17;5;2;9;3;3;9;3;6;-99;3;2;3;1;4;6;10;1;13;4;3;-99;4;8;-99;2;7;-99;1;3;4;7
03/01/2019;9;2;22;7;3;13;4;3;3;4;7;-99;4;2;4;3;5;7;7;1;21;4;4;-99;6;7;-99;3;13;-99;2;5;6;9
03/01/2019;10;2;17;9;4;9;5;3;6;8;7;-99;5;2;6;5;6;8;6;2;10;2;6;-99;8;9;-99;3;11;-99;3;5;7;9
03/01/2019;11;2;12;10;4;8;7;4;17;11;8;-99;5;2;7;6;5;8;9;2;8;4;7;-99;8;14;-99;4;10;-99;4;6;6;11
03/01/2019;12;3;18;7;4;9;9;3;11;12;8;-99;6;2;6;6;13;8;9;2;11;5;10;-99;8;14;-99;9;9;-99;8;6;8;9
03/01/2019;13;2;14;8;5;11;10;1;8;10;9;-99;-99;2;7;8;15;9;8;3;6;8;9;-99;9;9;-99;6;11;-99;10;9;12;12
03/01/2019;14;2;9;7;5;8;8;1;6;10;9;-99;-99;2;7;7;8;8;9;3;2;6;7;-99;6;7;-99;6;11;-99;8;6;-99;8
03/01/2019;15;2;6;4;4;7;7;1;5;10;7;-99;-99;2;4;6;7;5;7;2;2;3;6;-99;4;6;-99;1;9;-99;4;3;8;6
03/01/2019;16;2;4;4;4;4;5;1;5;9;5;-99;-99;2;3;7;5;4;5;1;1;3;5;-99;5;5;-99;1;7;-99;2;2;6;5
03/01/2019;17;2;4;5;2;3;4;1;5;9;5;-99;-99;2;2;6;4;3;3;1;1;2;4;-99;6;4;-99;1;6;-99;1;2;6;5
03/01/2019;18;4;3;5;2;3;3;1;5;9;5;-99;-99;2;1;4;5;3;3;1;1;2;3;-99;5;4;-99;1;6;-99;1;2;8;6
03/01/2019;19;2;2;5;1;2;2;1;4;7;5;-99;1;1;1;1;2;2;2;0;1;1;1;-99;2;3;-99;1;4;-99;1;2;5;3
03/01/2019;20;2;3;3;1;1;2;1;3;23;6;-99;2;1;1;1;1;2;1;1;1;1;2;-99;2;2;-99;1;2;-99;1;1;2;3
03/01/2019;21;2;2;3;1;2;3;1;2;21;5;-99;1;1;1;1;1;4;3;1;1;1;2;-99;3;2;-99;1;3;-99;1;2;2;3
03/01/2019;22;2;2;3;2;3;3;1;2;14;3;-99;1;1;2;2;2;3;3;1;1;2;2;-99;3;2;-99;1;4;-99;1;2;3;5
03/01/2019;23;2;2;8;2;4;2;3;2;10;3;-99;1;1;2;2;3;4;3;1;1;1;2;-99;4;2;-99;1;4;-99;1;2;4;6
03/01/2019;24;2;2;18;2;4;2;1;4;6;4;-99;1;2;1;2;3;3;3;1;1;2;2;-99;4;2;-99;1;6;-99;1;2;5;5
04/01/2019;1;1;4;20;2;4;2;2;8;6;11;-99;1;4;1;2;2;3;4;0;0;1;2;-99;4;7;-99;1;7;-99;1;2;6;5
04/01/2019;2;2;8;24;1;3;2;2;9;5;13;-99;1;6;2;2;2;3;4;1;0;3;1;-99;4;7;-99;1;8;-99;1;2;5;5
04/01/2019;3;1;5;19;1;3;2;1;7;4;15;-99;1;5;1;1;2;3;4;1;0;1;2;-99;5;6;-99;1;11;-99;1;1;4;6
04/01/2019;4;1;6;15;1;3;2;2;9;3;14;-99;1;4;1;1;2;2;2;1;0;2;1;-99;5;6;-99;1;12;-99;1;1;3;6
04/01/2019;5;1;6;11;1;5;2;2;9;2;-99;-99;1;3;1;1;2;2;2;1;0;2;1;-99;5;6;-99;1;11;-99;1;1;3;6
04/01/2019;6;1;5;9;1;5;2;2;6;3;-99;-99;1;2;1;2;2;3;3;1;1;2;2;-99;5;5;-99;1;10;-99;1;2;2;7
04/01/2019;7;1;5;9;2;-99;2;1;3;5;-99;-99;1;2;2;3;2;4;5;1;0;2;2;-99;6;5;-99;1;10;-99;1;2;2;13
04/01/2019;8;1;5;9;3;-99;3;3;5;6;-99;-99;2;2;3;3;4;8;6;2;1;2;2;-99;6;5;-99;1;11;-99;2;3;4;13
04/01/2019;9;2;5;9;4;-99;4;4;5;6;-99;-99;3;2;4;5;5;6;4;2;1;4;3;-99;7;3;-99;1;11;-99;2;4;7;11
04/01/2019;10;1;3;9;3;-99;4;2;3;6;9;-99;3;2;3;8;3;6;8;3;0;4;4;-99;12;3;-99;1;18;-99;2;4;9;10
04/01/2019;11;2;3;-99;2;-99;2;1;3;7;9;-99;5;2;3;7;4;5;5;1;0;4;3;-99;10;3;-99;1;16;-99;2;3;10;6
04/01/2019;12;1;2;-99;2;-99;3;0;6;15;11;-99;3;2;2;6;4;4;7;1;1;2;3;-99;8;4;-99;2;13;-99;2;2;9;5
04/01/2019;13;2;3;-99;2;-99;4;0;6;20;8;-99;3;1;3;4;3;4;5;1;0;1;4;-99;5;6;-99;2;10;-99;2;2;8;4
04/01/2019;14;2;3;-99;2;-99;3;0;6;14;7;-99;3;1;2;5;3;3;4;1;1;2;3;-99;5;5;-99;1;9;-99;2;2;8;4
04/01/2019;15;2;3;8;2;-99;3;0;6;13;6;-99;3;1;2;4;3;3;4;1;1;2;3;-99;4;5;-99;1;9;-99;2;2;8;3
04/01/2019;16;2;2;8;2;-99;3;1;5;13;6;-99;2;-99;2;4;3;3;4;1;1;1;2;-99;3;4;-99;1;7;-99;2;2;8;3
04/01/2019;17;3;2;9;2;5;3;1;5;-99;6;-99;3;1;2;4;4;3;3;1;0;2;2;-99;3;4;-99;1;6;-99;1;2;7;4
04/01/2019;18;3;2;9;1;5;3;1;5;6;7;-99;2;1;1;6;5;3;5;1;0;1;2;-99;4;3;-99;1;9;-99;1;1;9;5
04/01/2019;19;3;2;10;1;5;2;0;4;16;9;-99;1;1;1;3;3;2;3;1;0;1;2;-99;2;4;-99;1;14;-99;1;1;8;3
04/01/2019;20;3;2;15;1;1;2;1;2;6;8;-99;1;1;1;2;1;2;1;1;0;1;2;-99;2;2;-99;1;5;-99;1;1;3;2
04/01/2019;21;2;3;1;1;1;2;1;5;4;4;-99;1;2;1;3;2;2;3;1;1;1;2;-99;4;4;-99;2;4;-99;1;2;4;3
04/01/2019;22;2;7;1;1;2;2;2;7;3;3;-99;1;3;2;3;2;3;2;1;1;2;3;-99;3;7;-99;1;6;-99;1;2;2;3
04/01/2019;23;2;5;1;1;4;3;1;4;3;4;-99;4;4;3;3;2;4;3;1;1;2;4;-99;4;4;-99;1;4;-99;1;3;2;3
04/01/2019;24;2;4;3;2;3;3;1;4;2;4;-99;4;3;3;2;2;5;3;1;1;2;3;-99;4;3;-99;1;5;-99;2;3;2;4
05/01/2019;1;1;2;4;2;4;2;1;3;2;3;-99;4;2;3;2;2;5;3;1;1;2;2;-99;4;2;-99;1;6;-99;2;4;2;4
05/01/2019;2;1;3;4;2;3;2;2;3;2;3;-99;4;2;4;4;2;6;3;1;1;2;2;-99;5;2;-99;1;5;-99;2;3;-99;5
05/01/2019;3;1;3;3;2;3;2;1;3;2;3;-99;3;2;3;12;2;4;2;1;1;4;1;-99;6;2;-99;1;6;-99;1;2;11;7
05/01/2019;4;1;3;3;2;3;2;1;2;2;2;-99;4;3;5;10;2;6;2;1;1;4;1;-99;4;1;-99;1;5;-99;1;2;9;36
05/01/2019;5;1;3;2;2;2;2;2;2;2;2;-99;6;3;5;13;2;7;2;1;0;3;1;-99;5;2;-99;1;4;-99;1;2;4;10
05/01/2019;6;1;3;2;1;2;2;1;2;2;1;-99;7;3;3;9;2;6;2;1;0;2;1;-99;4;2;-99;1;3;-99;1;2;4;8
05/01/2019;7;1;2;2;2;2;1;2;3;3;2;-99;6;3;-99;4;3;7;4;1;0;2;1;-99;4;2;-99;1;4;-99;1;2;4;10
05/01/2019;8;1;3;3;3;3;2;1;4;4;3;-99;7;3;-99;3;4;9;6;2;1;3;2;-99;5;3;-99;1;4;-99;1;3;4;10
05/01/2019;9;2;7;4;3;6;3;3;5;6;5;-99;17;3;3;5;6;16;8;2;1;5;2;-99;5;3;-99;2;6;-99;2;3;5;9
05/01/2019;10;2;7;4;5;10;5;2;4;14;6;-99;24;3;10;11;7;25;8;3;1;12;4;-99;11;3;-99;2;10;-99;3;13;14;10
05/01/2019;11;12;5;6;7;17;8;4;4;13;16;-99;20;4;15;24;9;26;11;12;1;18;7;-99;21;3;-99;3;15;-99;10;23;31;10
05/01/2019;12;11;4;5;9;12;7;11;6;16;9;-99;16;5;19;19;8;17;10;11;1;15;7;-99;18;6;-99;5;12;-99;7;23;28;14
05/01/2019;13;9;5;5;8;8;8;9;4;11;6;-99;9;5;11;10;7;11;7;8;3;9;8;-99;12;6;-99;5;13;-99;7;15;17;14
05/01/2019;14;7;8;4;6;6;8;8;5;5;7;-99;6;5;7;6;7;8;7;6;5;6;8;-99;6;6;-99;9;9;-99;8;7;6;7
05/01/2019;15;7;7;3;7;8;8;6;5;7;7;-99;7;5;9;10;8;9;7;6;7;7;8;-99;10;5;-99;8;10;-99;8;7;8;7
05/01/2019;16;5;7;3;6;8;7;5;6;12;5;-99;7;5;8;10;6;9;7;7;7;7;6;-99;10;6;-99;6;8;-99;7;8;8;7
05/01/2019;17;4;6;5;5;6;7;3;6;17;5;-99;6;5;7;7;5;7;6;5;5;7;6;-99;-99;7;-99;6;8;-99;7;7;7;6
05/01/2019;18;3;6;12;4;6;7;1;4;6;7;-99;6;5;5;8;6;7;6;4;4;5;6;-99;-99;5;-99;4;10;-99;6;5;8;6
05/01/2019;19;1;5;8;4;7;6;1;6;5;14;-99;7;3;6;4;6;9;7;2;2;4;5;-99;-99;6;-99;2;8;-99;4;4;4;7
05/01/2019;20;1;7;11;3;3;6;1;26;3;21;-99;3;3;4;2;2;4;14;2;3;2;8;-99;-99;28;-99;2;3;-99;2;2;2;2
05/01/2019;21;1;7;1;1;1;2;2;28;2;4;-99;1;18;1;2;1;2;4;1;3;1;14;-99;-99;20;-99;2;3;-99;1;2;2;2
05/01/2019;22;1;13;11;3;2;7;1;16;2;14;-99;3;15;2;2;1;3;9;1;2;1;11;-99;-99;16;-99;1;2;-99;2;2;2;3
05/01/2019;23;1;6;17;5;4;9;1;9;2;12;-99;5;7;3;1;2;4;9;1;1;1;10;-99;-99;9;-99;4;10;-99;7;3;2;3
05/01/2019;24;1;4;12;5;16;5;1;6;2;8;-99;11;3;7;2;1;7;7;1;3;1;4;-99;3;5;-99;6;22;-99;5;5;2;5
06/01/2019;1;1;5;7;4;14;3;1;4;3;5;-99;12;3;12;1;2;17;4;1;3;1;2;-99;3;3;-99;5;13;-99;3;10;1;4
06/01/2019;2;2;4;4;3;8;2;1;3;2;3;-99;7;3;8;1;2;11;4;1;2;2;2;-99;3;2;-99;5;8;-99;3;9;3;3
06/01/2019;3;1;3;3;2;4;2;1;2;2;2;-99;4;3;5;1;2;8;3;1;2;2;2;-99;4;2;-99;4;4;-99;2;5;4;4
06/01/2019;4;1;2;2;2;2;2;1;4;1;2;-99;3;3;3;2;2;6;2;1;1;2;2;-99;4;3;-99;2;3;-99;2;3;3;5
06/01/2019;5;1;2;1;1;3;2;1;5;1;1;-99;3;3;2;2;2;4;2;1;1;2;1;-99;4;2;-99;2;3;-99;2;2;4;3
06/01/2019;6;1;2;1;1;8;2;1;4;1;1;-99;2;2;2;2;2;5;2;0;1;2;1;-99;4;2;-99;2;2;-99;2;2;3;3
06/01/2019;7;1;2;1;2;6;2;1;3;2;1;-99;2;2;3;2;2;7;2;0;1;2;1;-99;4;-99;-99;1;2;-99;1;2;3;3
06/01/2019;8;1;3;1;2;5;2;1;4;2;2;-99;3;2;4;3;2;6;4;1;1;2;1;-99;5;-99;-99;2;2;-99;1;3;3;4
06/01/2019;9;1;4;3;2;4;2;2;4;4;3;-99;3;3;4;3;3;5;4;1;1;2;2;-99;6;3;-99;2;3;-99;2;3;4;6
06/01/2019;10;2;4;3;2;4;3;2;4;6;3;-99;4;6;4;3;4;6;4;2;3;3;3;-99;6;3;-99;2;6;-99;2;4;4;5
06/01/2019;11;4;3;3;2;8;4;3;4;9;4;-99;4;9;5;4;5;6;3;3;2;4;3;-99;7;4;-99;3;9;-99;4;4;10;6
06/01/2019;12;4;4;3;2;4;4;4;5;8;4;-99;4;8;4;4;5;5;4;4;2;5;3;-99;6;4;-99;3;10;-99;4;4;8;5
06/01/2019;13;5;5;4;3;6;5;4;5;7;5;-99;4;6;4;6;4;5;6;4;4;4;5;-99;7;5;-99;4;7;-99;4;4;6;6
06/01/2019;14;3;4;3;3;4;4;2;4;4;4;-99;4;4;4;3;2;4;4;3;3;4;4;-99;5;4;-99;3;4;-99;3;4;3;4
06/01/2019;15;3;3;2;3;4;4;3;4;18;4;-99;3;4;3;3;3;4;3;3;2;5;3;-99;3;4;-99;4;4;-99;3;4;4;3
06/01/2019;16;4;3;4;3;3;4;2;3;29;3;-99;3;3;3;7;2;4;3;3;3;3;3;-99;5;3;-99;4;4;-99;3;3;14;3
06/01/2019;17;6;3;19;2;8;3;2;3;14;8;-99;3;3;3;12;10;4;4;3;3;3;3;-99;12;2;-99;3;27;-99;3;3;7;11
06/01/2019;18;6;3;15;6;19;7;3;13;11;17;-99;13;2;7;6;9;13;22;5;2;9;8;-99;6;15;-99;3;14;-99;3;5;6;7
06/01/2019;19;5;8;11;10;8;18;4;16;6;11;-99;11;3;8;6;5;8;12;5;3;6;18;-99;6;14;-99;6;8;-99;10;7;5;6
06/01/2019;20;5;11;10;5;6;10;2;15;5;14;-99;6;6;5;5;5;7;9;4;4;6;11;-99;6;10;-99;4;12;-99;6;6;5;6
06/01/2019;21;2;12;9;6;7;8;2;16;3;13;-99;6;9;5;4;4;6;13;1;4;4;10;-99;5;11;-99;3;7;-99;6;4;3;5
06/01/2019;22;2;8;7;3;4;6;1;10;3;8;-99;3;9;3;2;2;4;7;3;3;2;7;-99;4;8;-99;3;5;-99;4;3;3;3
06/01/2019;23;1;7;8;2;-99;6;1;7;3;6;-99;4;7;3;2;2;4;7;1;3;3;6;-99;4;7;-99;5;6;-99;4;3;3;3
06/01/2019;24;1;5;8;3;-99;5;1;6;2;5;-99;7;5;4;2;3;6;6;1;3;3;4;-99;5;5;-99;4;6;-99;3;3;2;6
07/01/2019;1;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
07/01/2019;2;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
07/01/2019;3;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
07/01/2019;4;1;5;3;1;2;2;1;2;-99;2;-99;2;2;2;3;2;3;2;0;2;1;2;-99;-99;2;-99;1;4;-99;1;2;3;3
07/01/2019;5;1;4;2;1;2;2;1;3;-99;1;-99;2;2;2;3;2;4;2;0;2;1;1;-99;3;2;-99;1;3;-99;1;3;4;3
07/01/2019;6;1;4;2;2;2;2;2;3;-99;2;-99;2;2;3;3;2;5;2;1;3;1;1;-99;4;2;-99;1;3;-99;1;2;2;5
07/01/2019;7;1;4;3;3;3;2;2;3;-99;3;-99;3;2;4;4;3;6;9;2;3;3;1;-99;4;2;-99;2;4;-99;1;3;2;7
07/01/2019;8;1;4;3;4;5;3;3;3;-99;5;-99;3;2;5;3;4;9;8;2;3;4;2;-99;5;2;-99;1;6;-99;2;5;3;7
07/01/2019;9;3;3;7;4;4;4;2;2;-99;6;-99;3;2;5;5;6;8;8;2;4;5;4;-99;6;2;-99;2;9;-99;2;5;3;8
07/01/2019;10;2;3;6;3;5;4;4;1;-99;5;-99;4;2;5;5;6;10;5;3;3;5;3;-99;7;1;-99;2;6;-99;2;5;4;8
07/01/2019;11;5;2;6;2;5;4;4;1;-99;4;-99;4;2;4;5;6;8;3;4;1;5;3;-99;7;1;-99;3;10;-99;3;5;7;7
07/01/2019;12;8;2;4;2;4;3;3;1;-99;2;-99;4;2;4;6;5;6;2;4;0;4;2;-99;8;1;-99;2;9;-99;2;4;8;7
07/01/2019;13;7;3;3;2;2;3;3;1;-99;2;-99;2;2;3;6;2;4;2;3;1;3;2;-99;7;2;-99;2;4;-99;2;3;7;4
07/01/2019;14;8;3;16;2;6;3;-99;2;-99;7;-99;4;2;4;7;7;5;3;4;2;5;2;-99;7;3;-99;3;14;-99;3;5;16;7
07/01/2019;15;3;6;11;8;14;7;2;13;-99;22;-99;9;5;6;8;11;9;15;5;4;6;8;-99;9;13;-99;5;17;-99;5;6;8;10
07/01/2019;16;1;14;8;11;11;12;3;14;5;11;-99;11;15;8;3;5;9;12;2;5;7;13;-99;3;15;-99;6;9;-99;8;7;5;4
07/01/2019;17;2;10;5;5;5;8;1;8;4;5;-99;4;9;4;3;4;4;5;2;4;2;9;-99;2;8;-99;3;7;-99;3;2;4;4
07/01/2019;18;2;6;3;3;3;6;1;5;2;4;-99;3;6;2;2;2;3;4;2;1;2;5;-99;2;5;-99;2;5;-99;2;2;2;3
07/01/2019;19;1;4;1;2;2;3;0;3;3;2;-99;2;6;2;1;1;2;2;1;1;1;2;-99;2;3;-99;2;3;-99;2;1;1;2
07/01/2019;20;1;2;1;1;1;2;1;2;2;2;-99;1;4;1;1;1;2;1;0;0;1;1;-99;2;2;-99;1;2;-99;1;1;1;2
07/01/2019;21;1;2;1;1;1;2;2;2;2;2;-99;1;2;1;1;1;2;1;0;0;1;1;-99;2;2;-99;1;3;-99;1;1;1;2
07/01/2019;22;1;2;1;1;1;2;1;2;1;2;-99;1;2;1;2;1;2;1;1;0;1;1;-99;2;2;-99;1;4;-99;1;1;2;1
07/01/2019;23;1;2;1;1;3;2;1;1;1;2;-99;2;2;1;2;1;2;1;1;0;1;1;-99;2;1;-99;1;4;-99;1;2;1;2
07/01/2019;24;1;2;2;1;2;2;2;1;2;1;-99;3;2;2;2;1;4;1;1;0;1;1;-99;3;1;-99;1;2;-99;1;2;1;2
08/01/2019;1;1;2;2;1;2;1;2;1;2;1;-99;2;1;3;2;1;4;1;1;0;1;1;-99;3;1;-99;1;3;-99;1;2;2;2
08/01/2019;2;1;2;2;1;1;1;1;1;2;1;-99;2;1;2;2;1;3;1;1;0;1;1;-99;3;1;-99;-99;2;-99;1;2;1;3
08/01/2019;3;1;2;1;1;1;1;1;1;1;1;-99;1;1;1;2;1;4;1;0;0;1;1;-99;2;1;-99;1;1;-99;1;1;1;3
